ID,DOT,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,Category,Subcategory,Explanation,MustInclude,Difficulty
1,SSA-1.1,What is the legal drinking age in the United States?,18,19,21,25,3,ID Verification,Legal Age,The legal drinking age in the United States is 21 under the National Minimum Drinking Age Act of 1984.,0,1
2,SSA-1.2,Which document is considered the most reliable form of ID for verifying age?,Library card,Student ID,Government-issued photo ID,Employer ID badge,3,ID Verification,Acceptable ID,Government-issued photo IDs such as a driver's license or passport are the most reliable because they are difficult to forge and contain verifiable information.,0,1
3,SSA-1.3,When checking an ID what should you look for first?,The expiration date,The photo,The name,The birthdate,2,ID Verification,ID Checking,The photo should be checked first to confirm the person presenting the ID matches the person on the document.,0,2
4,SSA-1.4,A guest presents an ID that appears altered. What should you do?,Accept it if the photo matches,Ask a manager for guidance,Call the police immediately,Return it without comment,2,ID Verification,Altered ID,If an ID appears altered or tampered with you should involve a manager. Accepting a questionable ID could expose you and your establishment to legal liability.,0,2
5,SSA-1.5,Which of the following is NOT an acceptable form of ID for verifying age?,State driver's license,U.S. passport,Military ID,Gym membership card,4,ID Verification,Acceptable ID,Gym membership cards are not government-issued and cannot be used to verify age. Acceptable IDs include driver's licenses passports and military IDs.,0,1
6,SSA-1.6,How should you handle a situation where a guest claims they left their ID at home?,Serve them if they look old enough,Ask them to return with their ID,Ask another guest to vouch for them,Serve them one drink only,2,ID Verification,No ID,If a guest does not have ID you must refuse service. No exceptions. Estimating age is not a reliable or legal method of verification.,0,2
7,SSA-1.7,What does it mean when an ID is expired?,It is still valid for age verification,It cannot be used as valid ID,It is only valid if less than one year old,It is valid if the photo still matches,2,ID Verification,Expired ID,An expired ID is not valid for alcohol service. Expiration indicates the document is no longer current and cannot be legally relied upon.,0,2
8,SSA-1.8,A guest presents a passport from another country. What should you do?,Refuse it since it is foreign,Accept it as valid ID,Only accept U.S. passports,Ask for a second ID,2,ID Verification,Foreign ID,Foreign passports are government-issued documents and are acceptable for age verification. You should check the birthdate carefully.,0,2
9,SSA-1.9,What is the purpose of a secondary ID check?,To verify that the primary ID is not stolen,To confirm the guest is a regular customer,To satisfy a two-drink minimum policy,To check the guest's credit,1,ID Verification,Secondary ID,A secondary ID can help confirm that the person presenting the ID is the legitimate owner. It adds a layer of verification.,0,3
10,SSA-1.10,At what age does a guest not need to be carded according to most responsible service guidelines?,Never — all guests should be carded,Only guests over 50,Guests who are clearly over 30,Guests who are regulars,1,ID Verification,Carding Policy,Best practice is to card every guest regardless of apparent age. Consistent carding protects your establishment and removes judgment from the equation.,0,2
11,SSA-1.11,A guest presents an ID where the birthdate makes them exactly 21 today. Should you serve them?,No — they must be at least 21 for 30 days,Yes — they are exactly 21 and legal to drink,No — they must present two forms of ID,Yes — but only beer and wine,2,ID Verification,Exact Birthday,A guest who is exactly 21 years old today is of legal drinking age and may be served. The law is effective on the 21st birthday.,0,2
12,SSA-1.12,What information on an ID helps you calculate the guest's age?,Address,Height,Date of birth,Eye color,3,ID Verification,ID Reading,The date of birth is used to calculate the guest's current age and confirm they meet the minimum legal drinking age.,0,1
13,SSA-1.13,A guest shows you an ID that belongs to someone else. What is this called?,Age fraud,Identity theft,Impersonation,All of the above,4,ID Verification,Fake ID,Using another person's ID to obtain alcohol is identity fraud and can result in criminal charges for the guest and liability for the server.,0,2
14,SSA-1.14,Which security feature on a driver's license helps verify authenticity?,The lamination,A hologram or UV feature,The font style,The color of the card,2,ID Verification,ID Security Features,Most modern driver's licenses include holograms ultraviolet features and microprinting that are difficult to replicate and help verify authenticity.,0,3
15,SSA-1.15,What should you do if you are unsure whether an ID is valid?,Serve the guest and note the time,Ask a manager or supervisor,Make your best guess,Ask the guest if it is real,2,ID Verification,Uncertain ID,When in doubt always involve a manager or supervisor. The responsibility is shared and it protects both you and the establishment.,0,2
16,SSA-2.1,Which of the following is a physical sign of intoxication?,Ordering a second drink,Talking with friends,Slurred speech,Tipping generously,3,Signs of Intoxication,Physical Signs,Slurred speech is a classic physical sign of intoxication caused by alcohol's effect on the motor control areas of the brain.,0,1
17,SSA-2.2,A guest is having difficulty walking in a straight line. This is a sign of,Nervousness,Intoxication,Medical condition,New shoes,2,Signs of Intoxication,Physical Signs,Difficulty walking or loss of coordination is a primary sign of intoxication. Alcohol impairs motor function and balance.,0,1
18,SSA-2.3,Which behavioral sign may indicate a guest is becoming intoxicated?,Becoming more talkative and louder,Ordering water,Eating food,Checking their phone,1,Signs of Intoxication,Behavioral Signs,Increased talkativeness loud behavior and loss of inhibitions are early behavioral signs of alcohol intoxication.,0,2
19,SSA-2.4,A guest is becoming increasingly argumentative and aggressive. What should this signal to you?,They are having a bad day,This is normal behavior for this guest,They may be intoxicated,They need more to drink,3,Signs of Intoxication,Behavioral Signs,Aggression and argumentative behavior are signs of intoxication. Alcohol lowers inhibitions and impairs judgment often leading to confrontational behavior.,0,2
20,SSA-2.5,Which of the following is NOT a reliable sign of intoxication?,Glassy or bloodshot eyes,Slurred speech,Wearing expensive clothing,Unsteady balance,3,Signs of Intoxication,Physical Signs,Clothing and appearance have no bearing on intoxication levels. Physical and behavioral cues are the reliable indicators.,0,1
21,SSA-2.6,A guest who was loud and energetic earlier has become quiet and drowsy. What does this suggest?,They are bored,They are intoxicated,They are tired from work,They are being polite,2,Signs of Intoxication,Behavioral Signs,A shift from energetic to drowsy and quiet can indicate a high level of intoxication as the central nervous system becomes more depressed.,0,2
22,SSA-2.7,Why is it difficult to determine intoxication by appearance alone?,Some people hide intoxication well,Alcohol affects everyone differently,Both A and B,Neither A nor B,3,Signs of Intoxication,Assessment,Individual tolerance weight and metabolism mean alcohol affects people differently. Some people can appear sober while legally intoxicated.,0,2
23,SSA-2.8,A guest is spilling their drink repeatedly and having trouble holding their glass. This suggests,The glass is too full,The guest may be intoxicated,The bar surface is wet,The guest is left-handed,2,Signs of Intoxication,Physical Signs,Loss of fine motor control such as difficulty holding a glass is a sign of alcohol impairment.,0,2
24,SSA-2.9,What does alcohol do to a person's inhibitions?,It has no effect,It increases them,It lowers them,It eliminates them immediately,3,Signs of Intoxication,Effects of Alcohol,Alcohol lowers inhibitions by depressing the prefrontal cortex which controls judgment and social behavior. This often results in bold or reckless actions.,0,2
25,SSA-2.10,A guest is laughing excessively and making jokes that are inappropriate. This could indicate,They are a comedian,They are intoxicated,They are nervous,They are celebrating a birthday,2,Signs of Intoxication,Behavioral Signs,Inappropriate or excessive behavior is a behavioral sign of intoxication. Alcohol impairs social judgment and self-regulation.,0,2
26,SSA-2.11,How does alcohol affect a person's reaction time?,It improves it,It has no effect,It slows it down,It only affects reaction time after 5 drinks,3,Signs of Intoxication,Effects of Alcohol,Alcohol slows reaction time by impairing the central nervous system. This is why driving under the influence is so dangerous.,0,2
27,SSA-2.12,A guest who arrived sober is now exhibiting signs of intoxication. What is the most important thing to track?,Their tab amount,The time and number of drinks they have consumed,Their food order,Their name,2,Signs of Intoxication,Monitoring,Tracking the number of drinks and the time elapsed helps servers assess intoxication levels and make responsible service decisions.,0,2
28,SSA-2.13,Which of the following best describes a guest who is visibly intoxicated?,A guest who has had exactly three drinks,A guest showing observable signs of impairment,A guest who admits they are drunk,A guest who is stumbling outside,2,Signs of Intoxication,Visible Intoxication,Visible intoxication means observable signs of impairment. You do not need a guest to admit intoxication or for them to fall down before acting.,0,2
29,SSA-2.14,Bloodshot or glassy eyes in a guest may indicate,Allergies only,Fatigue only,Intoxication or other impairment,They were swimming,3,Signs of Intoxication,Physical Signs,Bloodshot or glassy eyes can indicate intoxication though they may also result from other causes. Combined with other signs they are a reliable indicator.,0,2
30,SSA-2.15,What is the best approach to monitoring a guest's intoxication level?,Wait until they are clearly drunk,Monitor consistently from the first drink,Only check when they order another drink,Ask other guests to report problems,2,Signs of Intoxication,Monitoring,Responsible service requires monitoring from the first drink. Catching early signs allows you to slow service before the guest becomes visibly intoxicated.,0,3
31,SSA-3.1,What does BAC stand for?,Blood Alcohol Concentration,Body Alcohol Count,Beverage Alcohol Content,Blood Absorption Capacity,1,BAC & Physiology,BAC Basics,BAC stands for Blood Alcohol Concentration. It measures the amount of alcohol in a person's bloodstream expressed as a percentage.,0,1
32,SSA-3.2,At what BAC level is a person considered legally impaired to drive in most U.S. states?,0.04%,0.08%,0.10%,0.12%,2,BAC & Physiology,Legal Limit,The legal BAC limit for driving in most U.S. states is 0.08%. At this level a driver is considered legally impaired.,0,1
33,SSA-3.3,Which factor has the greatest influence on how quickly a person becomes intoxicated?,Their mood,Their body weight,How much they slept,Their hair color,2,BAC & Physiology,BAC Factors,Body weight is a primary factor in alcohol metabolism. A lighter person will reach a higher BAC more quickly than a heavier person consuming the same amount.,0,2
34,SSA-3.4,How does food in the stomach affect alcohol absorption?,It speeds up absorption,It has no effect,It slows absorption,It prevents intoxication,3,BAC & Physiology,Absorption,Food in the stomach slows the absorption of alcohol into the bloodstream by diluting it and slowing gastric emptying.,0,2
35,SSA-3.5,How does gender affect BAC?,Women typically reach higher BAC than men for the same amount of alcohol,Men typically reach higher BAC than women,Gender has no effect on BAC,Only applies to people under 25,1,BAC & Physiology,BAC Factors,Women typically have less body water and lower levels of the enzyme that breaks down alcohol resulting in higher BAC than men of the same weight consuming the same amount.,0,2
36,SSA-3.6,At approximately what rate does the body eliminate alcohol?,One standard drink per 30 minutes,One standard drink per hour,One standard drink per two hours,It varies too much to estimate,2,BAC & Physiology,Elimination Rate,The liver processes approximately one standard drink per hour. This rate cannot be accelerated by coffee water or food.,0,2
37,SSA-3.7,What is a standard drink in the United States?,Any drink served in a bar,A drink containing 0.6 ounces of pure alcohol,A 12-ounce glass of any beverage,A drink that costs one dollar,2,BAC & Physiology,Standard Drink,A standard drink contains 0.6 ounces of pure alcohol. This equals 12 oz of regular beer 5 oz of wine or 1.5 oz of distilled spirits.,0,2
38,SSA-3.8,Can coffee or energy drinks sober a person up faster?,Yes — caffeine neutralizes alcohol,Yes — but only in large amounts,No — only time allows BAC to decrease,No — but they may help the person stay awake,3,BAC & Physiology,Myths,Coffee and energy drinks do not reduce BAC. They can mask drowsiness but the person remains impaired. Only time reduces BAC.,0,2
39,SSA-3.9,Which organ is primarily responsible for metabolizing alcohol?,The kidneys,The stomach,The liver,The heart,3,BAC & Physiology,Metabolism,The liver is the primary organ responsible for metabolizing alcohol. It processes approximately one standard drink per hour.,0,1
40,SSA-3.10,How does drinking on an empty stomach compare to drinking after a meal?,No difference,BAC rises slower on empty stomach,BAC rises faster on empty stomach,Empty stomach prevents intoxication,3,BAC & Physiology,Absorption,Without food to slow absorption alcohol passes quickly into the bloodstream resulting in a faster rise in BAC.,0,2
41,SSA-3.11,Which type of beverage typically constitutes one standard drink?,A 16-ounce beer,A 5-ounce glass of wine,A double shot of spirits,A full bottle of hard cider,2,BAC & Physiology,Standard Drink,A 5-ounce glass of wine at approximately 12% alcohol content constitutes one standard drink containing 0.6 ounces of pure alcohol.,0,2
42,SSA-3.12,What effect does carbonation in drinks have on alcohol absorption?,It slows absorption,It has no effect,It speeds up absorption,It only affects women,3,BAC & Physiology,Absorption,Carbonation speeds the absorption of alcohol by increasing the rate at which alcohol passes from the stomach into the small intestine.,0,3
43,SSA-3.13,What is the approximate BAC at which most people begin to show signs of impairment?,0.02%,0.04%,0.08%,0.15%,2,BAC & Physiology,Impairment Levels,Most people begin to show signs of impairment at a BAC of around 0.04% to 0.05% though legal impairment is defined at 0.08%.,0,3
44,SSA-3.14,Can a person with a high alcohol tolerance have a high BAC without appearing drunk?,Yes,No,Only if they eat enough food,Only applies to men,1,BAC & Physiology,Tolerance,A person with high tolerance may not show visible signs of intoxication but their BAC can still be at dangerous levels. Tolerance does not mean safety.,0,3
45,SSA-3.15,What is the effect of mixing alcohol with medication?,No effect unless prescribed,It can increase intoxication and create dangerous interactions,It always neutralizes alcohol,It only affects the elderly,2,BAC & Physiology,Medication Interactions,Many medications interact dangerously with alcohol amplifying intoxication or causing adverse reactions. Servers should be aware that medication use can accelerate visible intoxication.,0,3
46,SSA-4.1,What is the primary goal of intervention in responsible alcohol service?,To embarrass the guest,To prevent harm to the guest and others,To increase the establishment's liability,To end the guest's evening quickly,2,Intervention & Refusal,Intervention Goals,The goal of intervention is to prevent harm. This includes preventing the guest from driving impaired causing a disturbance or injuring themselves or others.,0,1
47,SSA-4.2,When should you begin slowing service to a guest?,After they are visibly intoxicated,When you first notice signs of intoxication,Only when they ask for another drink,After they have had five drinks,2,Intervention & Refusal,Slowing Service,Intervention should begin as early as possible. Slowing service when early signs appear is far more effective than waiting until the guest is visibly intoxicated.,0,2
48,SSA-4.3,Which of the following is an appropriate way to slow service to a guest?,Ignore their next drink order,Remove their current drink,Offer food water or a non-alcoholic beverage,Tell them loudly they have had enough,3,Intervention & Refusal,Slowing Service,Offering food water or a non-alcoholic alternative is a non-confrontational way to slow service. It addresses the guest's needs without causing embarrassment.,0,2
49,SSA-4.4,A guest insists they are fine and demands another drink. What should you do?,Serve them since they insist they are fine,Use your judgment and observe their behavior,Trust the guest — they know their limits,Serve them but make it weaker,2,Intervention & Refusal,Refusal,A guest's insistence that they are fine does not override your professional assessment. Use your observation skills and follow responsible service guidelines.,0,2
50,SSA-4.5,How should you communicate a refusal of service to a guest?,Loudly so other guests hear,In a private calm and respectful manner,Through another staff member,By calling the police,2,Intervention & Refusal,Communicating Refusal,Refusal should always be delivered privately calmly and respectfully. Public confrontation can escalate the situation and harm the establishment's reputation.,0,2
51,SSA-4.6,What should you say when refusing service to a guest?,You are drunk and need to leave,I am sorry but I cannot serve you any more alcohol tonight,You have had enough,Call a cab you are too drunk,2,Intervention & Refusal,Communicating Refusal,A calm professional statement focuses on what you can do and avoids accusatory language. I cannot serve you more alcohol tonight is direct without being confrontational.,0,2
52,SSA-4.7,A guest you have refused service to becomes angry and threatens to complain. What should you do?,Give them one more drink to calm them down,Apologize and serve them,Stand firm calmly explain the policy and involve a manager,Ask them to leave immediately,3,Intervention & Refusal,Handling Pushback,Your responsibility is to the guest's safety and your legal obligations. Involve a manager but do not reverse a refusal under pressure.,0,3
53,SSA-4.8,What is the most important thing to do after refusing service to a guest?,Ignore them for the rest of the evening,Continue to monitor them and ensure they get home safely,Ask them to pay their tab and leave,Document the refusal in the incident log,2,Intervention & Refusal,Post-Refusal,Refusing service does not end your responsibility. You must ensure the guest does not drive and gets home safely. Offer to call a cab or rideshare.,0,3
54,SSA-4.9,A group of friends is trying to order drinks for an intoxicated member of their group. What should you do?,Serve the drinks to the friends,Refuse alcohol service to the intoxicated guest even if ordered by others,Only serve beer not spirits,Let the friends decide,2,Intervention & Refusal,Third Party Ordering,Allowing friends to order alcohol for an intoxicated guest circumvents your refusal. You must refuse alcohol service to the intoxicated person regardless of who orders it.,0,3
55,SSA-4.10,Which of the following is the best way to prevent a guest from driving drunk?,Take their keys by force,Call the police,Offer to call a taxi or rideshare and involve a manager,Ask other guests to stop them,3,Intervention & Refusal,Preventing Drunk Driving,Offering to arrange alternative transportation is the most practical and professional approach. Involving management ensures backup support.,0,2
56,SSA-4.11,Why is it important to document a refusal of service?,For tax purposes,To create evidence of responsible service in case of legal action,To report to ServSafe,To update the guest's account,2,Intervention & Refusal,Documentation,Documentation of service refusals creates a record that demonstrates responsible service practices. This can be critical in defending against dram shop liability claims.,0,3
57,SSA-4.12,What should you do if a guest leaves your establishment and you believe they intend to drive drunk?,Nothing — once they leave it is not your responsibility,Notify a manager and consider calling law enforcement,Chase them to the parking lot,Ask another guest to follow them,2,Intervention & Refusal,Drunk Driving Prevention,Your duty of care may extend beyond the door. Notifying a manager and potentially law enforcement is the responsible action when you believe a guest will drive impaired.,0,3
58,SSA-4.13,A guest tells you they only live two blocks away and will walk home. Does this change your refusal decision?,Yes — walking is safe so serve them,No — you should still refuse further service,Only if they show you their ID,Yes — distance from establishment matters legally,2,Intervention & Refusal,Refusal,Walking does not eliminate the risks of intoxication. A guest who is visibly intoxicated should not be served more alcohol regardless of their transportation plans.,0,2
59,SSA-4.14,What is the best approach when you first suspect a guest is becoming intoxicated?,Immediately cut them off,Begin slowing service and monitoring closely,Ask them how many drinks they have had,Ignore it unless they cause a problem,2,Intervention & Refusal,Early Intervention,Early intervention through slowing service and closer monitoring is the most effective approach. Immediate cutoff can create unnecessary confrontation.,0,2
60,SSA-4.15,A guest returns after being refused service at another bar. What should you do?,Serve them since it is a fresh start,Refuse service — they are already intoxicated,Ask them how long ago they were refused,Call the other bar to confirm,2,Intervention & Refusal,Pre-Intoxicated Guests,A guest who was refused service elsewhere is already intoxicated. Serving them continues the intoxication and creates liability for your establishment.,0,3
61,SSA-5.1,What is dram shop liability?,A law requiring bars to sell alcohol by the ounce,Legal responsibility of alcohol servers for harm caused by intoxicated guests,A tax on alcohol sales,A requirement to serve food with alcohol,2,Legal Liability,Dram Shop Law,Dram shop laws hold alcohol-serving establishments liable for injuries or damages caused by intoxicated guests they served. This liability can extend to third parties harmed by the guest.,0,2
62,SSA-5.2,Under dram shop laws who can be held liable for injuries caused by a drunk driver?,Only the drunk driver,The driver and the establishment that served them,Only the establishment,No one if the driver is over 21,2,Legal Liability,Dram Shop Law,Dram shop laws allow injured third parties to sue both the intoxicated person and the establishment that served them. This is why responsible service is so critical.,0,2
63,SSA-5.3,What is the primary purpose of dram shop laws?,To generate tax revenue,To encourage alcohol sales,To protect the public from harm caused by over-service,To regulate alcohol pricing,3,Legal Liability,Dram Shop Law,Dram shop laws exist to create accountability in the alcohol service industry and protect the public from the dangers of over-service.,0,2
64,SSA-5.4,Which of the following best protects an establishment from dram shop liability?,Serving only beer and wine,Consistent responsible service practices and documentation,Having a large security team,Requiring guests to sign a waiver,2,Legal Liability,Liability Protection,Consistent responsible service practices including monitoring guests slowing service and documenting refusals provide the strongest legal protection.,0,3
65,SSA-5.5,Can a server be personally held liable for over-serving a guest?,Yes in many states,No — only the establishment is liable,Only if the guest is under 21,Only if the guest dies,1,Legal Liability,Server Liability,Many states allow personal liability claims against individual servers who knowingly over-serve guests. This is why responsible service training is essential for all alcohol service staff.,0,3
66,SSA-5.6,What is the best defense against a dram shop lawsuit?,Claiming you did not know the guest was drunk,Documented evidence of responsible service practices,Having the guest sign a release,Providing free food to guests,2,Legal Liability,Liability Protection,Documentation of responsible service — including notes on the guest's condition refusals and actions taken — is the strongest defense in a dram shop lawsuit.,0,3
67,SSA-5.7,A guest injures a third party after leaving your establishment. Your establishment could face liability if,You served the guest their first drink,You served the guest when they were visibly intoxicated,The guest had a fake ID,The injury occurred on your property,2,Legal Liability,Dram Shop Scenarios,Liability arises when you serve a visibly intoxicated person who then causes harm. Serving someone who later becomes intoxicated elsewhere generally does not create liability.,0,3
68,SSA-5.8,What does it mean to serve alcohol to a minor?,Providing alcohol to anyone under 21,Providing alcohol to anyone under 18,Providing a small amount of alcohol,Serving a reduced portion,1,Legal Liability,Minor Service,Serving alcohol to anyone under the age of 21 is illegal in the United States and constitutes service to a minor regardless of the amount served.,0,1
69,SSA-5.9,What are the potential consequences of serving alcohol to a minor?,Only a warning for first offense,Criminal charges fines and loss of liquor license,Only a civil fine,Nothing if the minor had a fake ID,2,Legal Liability,Minor Service,Serving alcohol to a minor can result in criminal charges substantial fines and revocation of the establishment's liquor license. The fake ID defense provides limited protection.,0,2
70,SSA-5.10,Does having a fake ID fully protect an establishment from liability for serving a minor?,Yes — it transfers all liability to the minor,No — establishments can still face penalties depending on state law,Yes — if the ID appeared genuine,Only if the server checked the ID,2,Legal Liability,Fake ID Defense,While a convincing fake ID may mitigate liability in some states it does not provide complete protection in all jurisdictions. Consistent ID checking practices are the best defense.,0,3
71,SSA-5.11,What is social host liability?,Liability for serving alcohol at a private party,A law about hosting events in restaurants,A requirement to have security at parties,A tax on private events,1,Legal Liability,Social Host Liability,Social host liability laws hold private individuals responsible for injuries caused by guests they served alcohol to. This applies to house parties and private events not just commercial establishments.,0,3
72,SSA-5.12,Why is it important to know your state's specific dram shop laws?,Laws vary significantly by state,They are the same everywhere,Only managers need to know them,They only apply to spirits not beer or wine,1,Legal Liability,State Laws,Dram shop laws vary significantly between states including differences in liability limits defenses available and whether servers can be personally liable.,0,2
73,SSA-5.13,An intoxicated guest injures themselves after leaving your establishment. Can your establishment be liable?,Never — injuries outside the establishment are not your responsibility,Possibly — depending on state law and the circumstances of service,Only if they fall on your property,Only if they were a minor,2,Legal Liability,Liability Scenarios,Some states extend dram shop liability to self-inflicted injuries. The circumstances of service and the guest's visible intoxication at the time of service are key factors.,0,3
74,SSA-5.14,What is the best way to demonstrate that your establishment operates responsibly?,Post signs about responsible drinking,Maintain consistent service standards and training records,Serve food with every drink,Limit hours of operation,2,Legal Liability,Liability Protection,Documented training programs consistent service standards and incident logs demonstrate a culture of responsible service which is critical in legal proceedings.,0,2
75,SSA-5.15,What should an establishment do after an incident involving an intoxicated guest?,Nothing unless someone was hurt,Document the incident thoroughly as soon as possible,Wait to see if a lawsuit is filed,Deny the guest was intoxicated,2,Legal Liability,Incident Documentation,Thorough prompt documentation of incidents is critical. Detailed records created close in time to the event are far more credible than recollections made later.,0,3
76,SSA-6.1,What is the primary goal of responsible alcohol service?,To maximize alcohol sales,To ensure a safe and enjoyable experience for all guests,To meet minimum legal requirements only,To prevent guests from drinking,2,Responsible Service,Core Principles,Responsible alcohol service aims to provide a safe enjoyable environment while preventing harm. It balances hospitality with duty of care.,0,1
77,SSA-6.2,Why is it important to offer food to guests who are drinking?,Food slows alcohol absorption,Food absorbs all the alcohol,Food prevents intoxication entirely,It is not important,1,Responsible Service,Food Service,Food particularly high-protein and high-fat foods slows the absorption of alcohol into the bloodstream helping to moderate the rise in BAC.,0,2
78,SSA-6.3,Which of the following is an example of responsible alcohol service?,Offering a free round of drinks at last call,Encouraging guests to drink more to increase tips,Monitoring guest consumption throughout their visit,Serving doubles to speed up service,3,Responsible Service,Service Practices,Monitoring guest consumption and making proactive service decisions throughout the visit is the cornerstone of responsible service.,0,2
79,SSA-6.4,What does a house policy on alcohol service typically include?,Rules for pricing specials only,Guidelines for responsible service refusal procedures and emergency protocols,Only the hours alcohol is served,Only rules for servers not managers,2,Responsible Service,House Policy,A comprehensive house policy includes responsible service standards refusal procedures emergency protocols and staff training requirements.,0,2
80,SSA-6.5,How should an establishment handle a guest who appears to be pre-intoxicated when they arrive?,Serve them normally since they were not served here,Refuse alcohol service,Offer them only beer,Ask them to leave immediately,2,Responsible Service,Pre-Intoxicated Guests,A guest who arrives already intoxicated should not be served alcohol. Serving them would constitute service to a visibly intoxicated person creating legal liability.,0,2
81,SSA-6.6,What is the role of management in responsible alcohol service?,Only to handle complaints,To train staff set policies and support responsible service decisions,To override server refusals,To handle all service personally,2,Responsible Service,Management Role,Management is responsible for training staff establishing and enforcing responsible service policies and supporting servers when difficult decisions must be made.,0,2
82,SSA-6.7,Why should servers avoid drinking alcohol while on duty?,It is a personal choice,It impairs their ability to assess guests and make responsible service decisions,Only bartenders should avoid it,It only matters if they drink heavily,2,Responsible Service,Server Conduct,A server who has consumed alcohol cannot reliably assess a guest's intoxication level and may make poor service decisions. Most establishments prohibit staff from drinking on duty.,0,2
83,SSA-6.8,What is the purpose of a last call procedure?,To maximize last-minute sales,To give guests a chance to order one final drink while managing their departure responsibly,To close the bar as fast as possible,To collect all glasses,2,Responsible Service,Last Call,A responsible last call procedure gives guests reasonable notice while allowing staff to monitor the final round of service and arrange safe transportation if needed.,0,2
84,SSA-6.9,What should a server do if they see a coworker over-serving a guest?,Ignore it — it is not their responsibility,Inform a manager,Confront the coworker publicly,Continue serving the guest themselves,2,Responsible Service,Team Responsibility,Responsible service is a team effort. If you see a coworker over-serving a guest notify a manager. The establishment's liability and the guest's safety are everyone's concern.,0,2
85,SSA-6.10,How does offering water to guests support responsible service?,It replaces alcohol consumption,It slows alcohol absorption and paces consumption,It has no effect on intoxication,It is only helpful before drinking starts,2,Responsible Service,Service Practices,Offering water between drinks slows consumption and helps maintain hydration. It is a non-confrontational way to pace a guest's drinking.,0,2
86,SSA-6.11,What is the benefit of a two-drink maximum per round policy?,It limits revenue,It prevents guests from becoming intoxicated as quickly,It is required by law,It only applies to spirits,2,Responsible Service,Service Policies,Limiting orders to two drinks per round slows consumption rates giving the server more opportunity to monitor the guest's condition between rounds.,0,3
87,SSA-6.12,Which of the following promotes responsible alcohol service?,Happy hour specials with unlimited drinks,Drink specials that reward faster consumption,Clear pricing visible non-alcoholic options and attentive service,Serving alcohol until closing without monitoring,3,Responsible Service,Responsible Promotions,Responsible promotions avoid incentivizing rapid consumption. Clear pricing visible non-alcoholic alternatives and attentive service support a responsible service environment.,0,2
88,SSA-6.13,What should be included in responsible service training for staff?,Only how to make cocktails,Legal requirements signs of intoxication refusal procedures and house policy,Only how to check IDs,Only how to handle customer complaints,2,Responsible Service,Staff Training,Comprehensive responsible service training covers legal requirements recognizing intoxication intervention techniques refusal procedures and establishment-specific policies.,0,2
89,SSA-6.14,Why is consistency important in responsible alcohol service?,It makes scheduling easier,Consistent practices ensure all guests are treated fairly and protect the establishment legally,It speeds up service,It only matters for compliance audits,2,Responsible Service,Consistency,Inconsistent service practices create both fairness issues and legal vulnerabilities. Consistent application of responsible service standards protects guests and the establishment.,0,2
90,SSA-6.15,What is the server's responsibility when a guest orders alcohol for someone who appears intoxicated?,Serve the order since they did not order it themselves,Refuse the alcohol regardless of who ordered it,Serve beer but not spirits,Ask the manager to decide,2,Responsible Service,Third Party Orders,Your responsibility is to the intoxicated guest's safety not to the convenience of their table. Refusing alcohol to an intoxicated person applies regardless of who places the order.,0,3
91,SSA-1.16,A guest presents a valid ID but appears to be much younger than the photo. What should you do?,Accept the ID since it is valid,Ask for a second form of ID and observe carefully,Refuse service without explanation,Ask another server to check,2,ID Verification,ID Comparison,If there is a significant discrepancy between the guest's appearance and the photo ask for additional ID. A valid ID with a suspicious photo match warrants extra verification.,0,3
92,SSA-1.17,What is the minimum age at which a server can legally check IDs and serve alcohol in most states?,16,18,21,There is no minimum,2,ID Verification,Server Age Requirements,Most states require alcohol servers to be at least 18 years old. Some require 21. Always check your state's specific requirements.,0,2
93,SSA-2.16,A guest says they are a nurse and can handle more alcohol than usual. Should this affect your service decision?,Yes — medical professionals can handle more,No — observable behavior is your guide,Yes — if they show their credentials,Only if they are off duty,2,Signs of Intoxication,Assessment,Professional claims do not affect your service decision. Your assessment must be based on observable signs of intoxication not on the guest's stated tolerance or profession.,0,3
